Freq.	V(verr)/V(x)
2.39883291901949e-001	(9.18452805633810e+001dB,9.55621329097837e+001°)
2.45470891568503e-001	(9.16471070894548e+001dB,9.54369964272510e+001°)
2.51188643150958e-001	(9.14488521273371e+001dB,9.53146745552200e+001°)
2.57039578276886e-001	(9.12505192820824e+001dB,9.51951069401706e+001°)
2.63026799189538e-001	(9.10521120019351e+001dB,9.50782343933161e+001°)
2.69153480392691e-001	(9.08536335849169e+001dB,9.49639988784271e+001°)
2.75422870333816e-001	(9.06550871851586e+001dB,9.48523434990239e+001°)
2.81838293126445e-001	(9.04564758189835e+001dB,9.47432124850415e+001°)
2.88403150312660e-001	(9.02578023707506e+001dB,9.46365511789997e+001°)
2.95120922666638e-001	(9.00590695984657e+001dB,9.45323060217674e+001°)
3.01995172040201e-001	(8.98602801391688e+001dB,9.44304245379469e+001°)
3.09029543251359e-001	(8.96614365141040e+001dB,9.43308553209590e+001°)
3.16227766016837e-001	(8.94625411336813e+001dB,9.42335480178490e+001°)
3.23593656929628e-001	(8.92635963022355e+001dB,9.41384533138836e+001°)
3.31131121482591e-001	(8.90646042225923e+001dB,9.40455229169638e+001°)
3.38844156139202e-001	(8.88655670004455e+001dB,9.39547095418868e+001°)
3.46736850452531e-001	(8.86664866485546e+001dB,9.38659668945193e+001°)
3.54813389233575e-001	(8.84673650907686e+001dB,9.37792496558795e+001°)
3.63078054770101e-001	(8.82682041658818e+001dB,9.36945134661828e+001°)
3.71535229097172e-001	(8.80690056313296e+001dB,9.36117149088701e+001°)
3.80189396320560e-001	(8.78697711667291e+001dB,9.35308114946419e+001°)
3.89045144994280e-001	(8.76705023772706e+001dB,9.34517616455243e+001°)
3.98107170553496e-001	(8.74712007969669e+001dB,9.33745246789880e+001°)
4.07380277804112e-001	(8.72718678917646e+001dB,9.32990607921384e+001°)
4.16869383470335e-001	(8.70725050625232e+001dB,9.32253310459961e+001°)
4.26579518801592e-001	(8.68731136478684e+001dB,9.31532973498809e+001°)
4.36515832240165e-001	(8.66736949269227e+001dB,9.30829224459165e+001°)
4.46683592150962e-001	(8.64742501219198e+001dB,9.30141698936699e+001°)
4.57088189614874e-001	(8.62747804007072e+001dB,9.29470040549322e+001°)
4.67735141287197e-001	(8.60752868791405e+001dB,9.28813900786586e+001°)
4.78630092322637e-001	(8.58757706233754e+001dB,9.28172938860738e+001°)
4.89778819368445e-001	(8.56762326520604e+001dB,9.27546821559438e+001°)
5.01187233627271e-001	(8.54766739384348e+001dB,9.26935223100411e+001°)
5.12861383991364e-001	(8.52770954123363e+001dB,9.26337824987874e+001°)
5.24807460249771e-001	(8.50774979621204e+001dB,9.25754315870953e+001°)
5.37031796370252e-001	(8.48778824364979e+001dB,9.25184391404077e+001°)
5.49540873857623e-001	(8.46782496462913e+001dB,9.24627754109393e+001°)
5.62341325190348e-001	(8.44786003661151e+001dB,9.24084113241290e+001°)
5.75439937337156e-001	(8.42789353359826e+001dB,9.23553184652969e+001°)
5.88843655355588e-001	(8.40792552628428e+001dB,9.23034690665167e+001°)
6.02559586074356e-001	(8.38795608220495e+001dB,9.22528359937062e+001°)
6.16595001861481e-001	(8.36798526587665e+001dB,9.22033927339271e+001°)
6.30957344480192e-001	(8.34801313893114e+001dB,9.21551133829076e+001°)
6.45654229034654e-001	(8.32803976024392e+001dB,9.21079726327823e+001°)
6.60693448007594e-001	(8.30806518605709e+001dB,9.20619457600473e+001°)
6.76082975391980e-001	(8.28808947009672e+001dB,9.20170086137407e+001°)
6.91830970918935e-001	(8.26811266368509e+001dB,9.19731376038338e+001°)
7.07945784384136e-001	(8.24813481584793e+001dB,9.19303096898451e+001°)
7.24435960074988e-001	(8.22815597341702e+001dB,9.18885023696712e+001°)
7.41310241300916e-001	(8.20817618112814e+001dB,9.18476936686302e+001°)
7.58577575029182e-001	(8.18819548171483e+001dB,9.18078621287240e+001°)
7.76247116628690e-001	(8.16821391599785e+001dB,9.17689867981129e+001°)
7.94328234724279e-001	(8.14823152297088e+001dB,9.17310472207993e+001°)
8.12830516164097e-001	(8.12824833988219e+001dB,9.16940234265258e+001°)
8.31763771102669e-001	(8.10826440231291e+001dB,9.16578959208780e+001°)
8.51138038202374e-001	(8.08827974425170e+001dB,9.16226456755968e+001°)
8.70963589956078e-001	(8.06829439816617e+001dB,9.15882541190905e+001°)
8.91250938133743e-001	(8.04830839507108e+001dB,9.15547031271543e+001°)
9.12010839355907e-001	(8.02832176459360e+001dB,9.15219750138849e+001°)
9.33254300796988e-001	(8.00833453503560e+001dB,9.14900525227952e+001°)
9.54992586021433e-001	(7.98834673343318e+001dB,9.14589188181230e+001°)
9.77237220955808e-001	(7.96835838561363e+001dB,9.14285574763318e+001°)
9.99999999999997e-001	(7.94836951624978e+001dB,9.13989524778035e+001°)
1.02329299228075e+000	(7.92838014891195e+001dB,9.13700881987169e+001°)
1.04712854805090e+000	(7.90839030611769e+001dB,9.13419494031118e+001°)
1.07151930523760e+000	(7.88840000937914e+001dB,9.13145212351360e+001°)
1.09647819614318e+000	(7.86840927924846e+001dB,9.12877892114707e+001°)
1.12201845430196e+000	(7.84841813536114e+001dB,9.12617392139362e+001°)
1.14815362149688e+000	(7.82842659647742e+001dB,9.12363574822692e+001°)
1.17489755493953e+000	(7.80843468052188e+001dB,9.12116306070734e+001°)
1.20226443461741e+000	(7.78844240462127e+001dB,9.11875455229412e+001°)
1.23026877081238e+000	(7.76844978514064e+001dB,9.11640895017399e+001°)
1.25892541179416e+000	(7.74845683771795e+001dB,9.11412501460635e+001°)
1.28824955169313e+000	(7.72846357729702e+001dB,9.11190153828481e+001°)
1.31825673855640e+000	(7.70847001815915e+001dB,9.10973734571434e+001°)
1.34896288259165e+000	(7.68847617395327e+001dB,9.10763129260445e+001°)
1.38038426460288e+000	(7.66848205772480e+001dB,9.10558226527763e+001°)
1.41253754462275e+000	(7.64848768194318e+001dB,9.10358918009303e+001°)
1.44543977074592e+000	(7.62849305852828e+001dB,9.10165098288526e+001°)
1.47910838816820e+000	(7.60849819887556e+001dB,9.09976664841775e+001°)
1.51356124843620e+000	(7.58850311388018e+001dB,9.09793517985067e+001°)
1.54881661891248e+000	(7.56850781396004e+001dB,9.09615560822322e+001°)
1.58489319246111e+000	(7.54851230907782e+001dB,9.09442699194992e+001°)
1.62181009735892e+000	(7.52851660876204e+001dB,9.09274841633069e+001°)
1.65958690743755e+000	(7.50852072212722e+001dB,9.09111899307473e+001°)
1.69824365246174e+000	(7.48852465789320e+001dB,9.08953785983755e+001°)
1.73780082874937e+000	(7.46852842440352e+001dB,9.08800417977147e+001°)
1.77827941003892e+000	(7.44853202964316e+001dB,9.08651714108899e+001°)
1.81970085860998e+000	(7.42853548125539e+001dB,9.08507595663895e+001°)
1.86208713666286e+000	(7.40853878655795e+001dB,9.08367986349548e+001°)
1.90546071796324e+000	(7.38854195255855e+001dB,9.08232812255910e+001°)
1.94984459975804e+000	(7.36854498596974e+001dB,9.08102001817030e+001°)
1.99526231496887e+000	(7.34854789322306e+001dB,9.07975485773510e+001°)
2.04173794466952e+000	(7.32855068048271e+001dB,9.07853197136251e+001°)
2.08929613085403e+000	(7.30855335365855e+001dB,9.07735071151367e+001°)
2.13796208950222e+000	(7.28855591841871e+001dB,9.07621045266260e+001°)
2.18776162394954e+000	(7.26855838020149e+001dB,9.07511059096832e+001°)
2.23872113856833e+000	(7.24856074422693e+001dB,9.07405054395822e+001°)
2.29086765276776e+000	(7.22856301550789e+001dB,9.07302975022252e+001°)
2.34422881531991e+000	(7.20856519886062e+001dB,9.07204766911958e+001°)
2.39883291901948e+000	(7.18856729891500e+001dB,9.07110378049226e+001°)
2.45470891568502e+000	(7.16856932012432e+001dB,9.07019758439459e+001°)
2.51188643150957e+000	(7.14857126677475e+001dB,9.06932860082928e+001°)
2.57039578276885e+000	(7.12857314299440e+001dB,9.06849636949542e+001°)
2.63026799189537e+000	(7.10857495276207e+001dB,9.06770044954667e+001°)
2.69153480392690e+000	(7.08857669991568e+001dB,9.06694041935936e+001°)
2.75422870333815e+000	(7.06857838816042e+001dB,9.06621587631083e+001°)
2.81838293126444e+000	(7.04858002107658e+001dB,9.06552643656767e+001°)
2.88403150312659e+000	(7.02858160212715e+001dB,9.06487173488376e+001°)
2.95120922666637e+000	(7.00858313466517e+001dB,9.06425142440799e+001°)
3.01995172040200e+000	(6.98858462194081e+001dB,9.06366517650185e+001°)
3.09029543251358e+000	(6.96858606710829e+001dB,9.06311268056625e+001°)
3.16227766016836e+000	(6.94858747323254e+001dB,9.06259364387808e+001°)
3.23593656929627e+000	(6.92858884329572e+001dB,9.06210779143598e+001°)
3.31131121482590e+000	(6.90859018020352e+001dB,9.06165486581552e+001°)
3.38844156139201e+000	(6.88859148679135e+001dB,9.06123462703354e+001°)
3.46736850452530e+000	(6.86859276583032e+001dB,9.06084685242172e+001°)
3.54813389233574e+000	(6.84859402003312e+001dB,9.06049133650920e+001°)
3.63078054770100e+000	(6.82859525205978e+001dB,9.06016789091428e+001°)
3.71535229097171e+000	(6.80859646452334e+001dB,9.05987634424511e+001°)
3.80189396320559e+000	(6.78859765999532e+001dB,9.05961654200928e+001°)
3.89045144994279e+000	(6.76859884101122e+001dB,9.05938834653234e+001°)
3.98107170553495e+000	(6.74860001007591e+001dB,9.05919163688522e+001°)
4.07380277804111e+000	(6.72860116966889e+001dB,9.05902630882030e+001°)
4.16869383470333e+000	(6.70860232224959e+001dB,9.05889227471651e+001°)
4.26579518801590e+000	(6.68860347026257e+001dB,9.05878946353295e+001°)
4.36515832240164e+000	(6.66860461614271e+001dB,9.05871782077141e+001°)
4.46683592150961e+000	(6.64860576232034e+001dB,9.05867730844749e+001°)
4.57088189614873e+000	(6.62860691122646e+001dB,9.05866790507052e+001°)
4.67735141287196e+000	(6.60860806529782e+001dB,9.05868960563207e+001°)
4.78630092322636e+000	(6.58860922698214e+001dB,9.05874242160321e+001°)
4.89778819368444e+000	(6.56861039874329e+001dB,9.05882638094041e+001°)
5.01187233627270e+000	(6.54861158306647e+001dB,9.05894152810018e+001°)
5.12861383991362e+000	(6.52861278246356e+001dB,9.05908792406228e+001°)
5.24807460249770e+000	(6.50861399947836e+001dB,9.05926564636177e+001°)
5.37031796370250e+000	(6.48861523669206e+001dB,9.05947478912969e+001°)
5.49540873857622e+000	(6.46861649672866e+001dB,9.05971546314249e+001°)
5.62341325190346e+000	(6.44861778226055e+001dB,9.05998779588022e+001°)
5.75439937337154e+000	(6.42861909601418e+001dB,9.06029193159352e+001°)
5.88843655355586e+000	(6.40862044077583e+001dB,9.06062803137940e+001°)
6.02559586074354e+000	(6.38862181939754e+001dB,9.06099627326591e+001°)
6.16595001861479e+000	(6.36862323480312e+001dB,9.06139685230567e+001°)
6.30957344480190e+000	(6.34862468999439e+001dB,9.06182998067840e+001°)
6.45654229034652e+000	(6.32862618805750e+001dB,9.06229588780237e+001°)
6.60693448007592e+000	(6.30862773216951e+001dB,9.06279482045494e+001°)
6.76082975391978e+000	(6.28862932560510e+001dB,9.06332704290220e+001°)
6.91830970918932e+000	(6.26863097174352e+001dB,9.06389283703781e+001°)
7.07945784384134e+000	(6.24863267407576e+001dB,9.06449250253099e+001°)
7.24435960074986e+000	(6.22863443621192e+001dB,9.06512635698390e+001°)
7.41310241300913e+000	(6.20863626188891e+001dB,9.06579473609837e+001°)
7.58577575029179e+000	(6.18863815497832e+001dB,9.06649799385210e+001°)
7.76247116628687e+000	(6.16864011949465e+001dB,9.06723650268439e+001°)
7.94328234724277e+000	(6.14864215960381e+001dB,9.06801065369157e+001°)
8.12830516164094e+000	(6.12864427963197e+001dB,9.06882085683207e+001°)
8.31763771102666e+000	(6.10864648407466e+001dB,9.06966754114140e+001°)
8.51138038202371e+000	(6.08864877760640e+001dB,9.07055115495700e+001°)
8.70963589956075e+000	(6.06865116509049e+001dB,9.07147216615319e+001°)
8.91250938133740e+000	(6.04865365158940e+001dB,9.07243106238623e+001°)
9.12010839355904e+000	(6.02865624237545e+001dB,9.07342835134965e+001°)
9.33254300796985e+000	(6.00865894294197e+001dB,9.07446456103998e+001°)
9.54992586021430e+000	(5.98866175901498e+001dB,9.07554024003298e+001°)
9.77237220955805e+000	(5.96866469656528e+001dB,9.07665595777051e+001°)
9.99999999999994e+000	(5.94866776182107e+001dB,9.07781230485820e+001°)
1.02329299228075e+001	(5.92867096128123e+001dB,9.07900989337395e+001°)
1.04712854805089e+001	(5.90867430172896e+001dB,9.08024935718760e+001°)
1.07151930523760e+001	(5.88867779024624e+001dB,9.08153135229168e+001°)
1.09647819614318e+001	(5.86868143422875e+001dB,9.08285655714362e+001°)
1.12201845430196e+001	(5.84868524140159e+001dB,9.08422567301935e+001°)
1.14815362149688e+001	(5.82868921983557e+001dB,9.08563942437863e+001°)
1.17489755493952e+001	(5.80869337796432e+001dB,9.08709855924221e+001°)
1.20226443461741e+001	(5.78869772460213e+001dB,9.08860384958094e+001°)
1.23026877081237e+001	(5.76870226896261e+001dB,9.09015609171708e+001°)
1.25892541179416e+001	(5.74870702067814e+001dB,9.09175610673788e+001°)
1.28824955169313e+001	(5.72871198982030e+001dB,9.09340474092179e+001°)
1.31825673855640e+001	(5.70871718692112e+001dB,9.09510286617723e+001°)
1.34896288259164e+001	(5.68872262299540e+001dB,9.09685138049435e+001°)
1.38038426460288e+001	(5.66872830956394e+001dB,9.09865120840980e+001°)
1.41253754462274e+001	(5.64873425867795e+001dB,9.10050330148481e+001°)
1.44543977074592e+001	(5.62874048294448e+001dB,9.10240863879664e+001°)
1.47910838816820e+001	(5.60874699555308e+001dB,9.10436822744384e+001°)
1.51356124843620e+001	(5.58875381030366e+001dB,9.10638310306520e+001°)
1.54881661891247e+001	(5.56876094163566e+001dB,9.10845433037291e+001°)
1.58489319246110e+001	(5.54876840465850e+001dB,9.11058300369985e+001°)
1.62181009735892e+001	(5.52877621518354e+001dB,9.11277024756153e+001°)
1.65958690743755e+001	(5.50878438975743e+001dB,9.11501721723253e+001°)
1.69824365246173e+001	(5.48879294569703e+001dB,9.11732509933801e+001°)
1.73780082874936e+001	(5.46880190112597e+001dB,9.11969511246020e+001°)
1.77827941003891e+001	(5.44881127501285e+001dB,9.12212850776035e+001°)
1.81970085860997e+001	(5.42882108721130e+001dB,9.12462656961608e+001°)
1.86208713666285e+001	(5.40883135850177e+001dB,9.12719061627464e+001°)
1.90546071796323e+001	(5.38884211063539e+001dB,9.12982200052202e+001°)
1.94984459975803e+001	(5.36885336637980e+001dB,9.13252211036831e+001°)
1.99526231496887e+001	(5.34886514956708e+001dB,9.13529236974949e+001°)
2.04173794466951e+001	(5.32887748514395e+001dB,9.13813423924570e+001°)
2.08929613085402e+001	(5.30889039922431e+001dB,9.14104921681652e+001°)
2.13796208950222e+001	(5.28890391914417e+001dB,9.14403883855309e+001°)
2.18776162394954e+001	(5.26891807351915e+001dB,9.14710467944759e+001°)
2.23872113856832e+001	(5.24893289230469e+001dB,9.15024835418003e+001°)
2.29086765276776e+001	(5.22894840685897e+001dB,9.15347151792273e+001°)
2.34422881531990e+001	(5.20896465000882e+001dB,9.15677586716255e+001°)
2.39883291901947e+001	(5.18898165611866e+001dB,9.16016314054108e+001°)
2.45470891568501e+001	(5.16899946116262e+001dB,9.16363511971299e+001°)
2.51188643150956e+001	(5.14901810280004e+001dB,9.16719363022261e+001°)
2.57039578276884e+001	(5.12903762045439e+001dB,9.17084054239903e+001°)
2.63026799189536e+001	(5.10905805539596e+001dB,9.17457777226964e+001°)
2.69153480392690e+001	(5.08907945082827e+001dB,9.17840728249250e+001°)
2.75422870333815e+001	(5.06910185197849e+001dB,9.18233108330734e+001°)
2.81838293126443e+001	(5.04912530619213e+001dB,9.18635123350552e+001°)
2.88403150312658e+001	(5.02914986303195e+001dB,9.19046984141888e+001°)
2.95120922666636e+001	(5.00917557438153e+001dB,9.19468906592759e+001°)
3.01995172040199e+001	(4.98920249455363e+001dB,9.19901111748695e+001°)
3.09029543251357e+001	(4.96923068040347e+001dB,9.20343825917319e+001°)
3.16227766016835e+001	(4.94926019144723e+001dB,9.20797280774825e+001°)
3.23593656929626e+001	(4.92929108998604e+001dB,9.21261713474336e+001°)
3.31131121482589e+001	(4.90932344123562e+001dB,9.21737366756149e+001°)
3.38844156139200e+001	(4.88935731346189e+001dB,9.22224489059837e+001°)
3.46736850452529e+001	(4.86939277812274e+001dB,9.22723334638203e+001°)
3.54813389233573e+001	(4.84942991001635e+001dB,9.23234163673048e+001°)
3.63078054770098e+001	(4.82946878743621e+001dB,9.23757242392752e+001°)
3.71535229097170e+001	(4.80950949233327e+001dB,9.24292843191602e+001°)
3.80189396320558e+001	(4.78955211048543e+001dB,9.24841244750859e+001°)
3.89045144994277e+001	(4.76959673167474e+001dB,9.25402732161504e+001°)
3.98107170553494e+001	(4.74964344987264e+001dB,9.25977597048612e+001°)
4.07380277804109e+001	(4.72969236343362e+001dB,9.26566137697312e+001°)
4.16869383470332e+001	(4.70974357529756e+001dB,9.27168659180242e+001°)
4.26579518801589e+001	(4.68979719320129e+001dB,9.27785473486452e+001°)
4.36515832240162e+001	(4.66985332989959e+001dB,9.28416899651654e+001°)
4.46683592150959e+001	(4.64991210339614e+001dB,9.29063263889736e+001°)
4.57088189614871e+001	(4.62997363718490e+001dB,9.29724899725434e+001°)
4.67735141287194e+001	(4.61003806050212e+001dB,9.30402148128051e+001°)
4.78630092322634e+001	(4.59010550858972e+001dB,9.31095357646093e+001°)
4.89778819368442e+001	(4.57017612297034e+001dB,9.31804884542692e+001°)
5.01187233627268e+001	(4.55025005173457e+001dB,9.32531092931654e+001°)
5.12861383991361e+001	(4.53032744984088e+001dB,9.33274354913975e+001°)
5.24807460249768e+001	(4.51040847942876e+001dB,9.34035050714634e+001°)
5.37031796370248e+001	(4.49049331014566e+001dB,9.34813568819468e+001°)
5.49540873857620e+001	(4.47058211948817e+001dB,9.35610306111913e+001°)
5.62341325190344e+001	(4.45067509315811e+001dB,9.36425668009372e+001°)
5.75439937337152e+001	(4.43077242543408e+001dB,9.37260068598949e+001°)
5.88843655355584e+001	(4.41087431955907e+001dB,9.38113930772274e+001°)
6.02559586074353e+001	(4.39098098814478e+001dB,9.38987686359117e+001°)
6.16595001861477e+001	(4.37109265359324e+001dB,9.39881776259454e+001°)
6.30957344480188e+001	(4.35120954853647e+001dB,9.40796650573644e+001°)
6.45654229034650e+001	(4.33133191629471e+001dB,9.41732768730314e+001°)
6.60693448007590e+001	(4.31146001135408e+001dB,9.42690599611556e+001°)
6.76082975391976e+001	(4.29159409986421e+001dB,9.43670621674979e+001°)
6.91830970918930e+001	(4.27173446015672e+001dB,9.44673323072134e+001°)
7.07945784384132e+001	(4.25188138328508e+001dB,9.45699201762801e+001°)
7.24435960074984e+001	(4.23203517358680e+001dB,9.46748765624575e+001°)
7.41310241300911e+001	(4.21219614926852e+001dB,9.47822532557161e+001°)
7.58577575029177e+001	(4.19236464301485e+001dB,9.48921030580725e+001°)
7.76247116628685e+001	(4.17254100262178e+001dB,9.50044797927625e+001°)
7.94328234724274e+001	(4.15272559165526e+001dB,9.51194383126779e+001°)
8.12830516164092e+001	(4.13291879013587e+001dB,9.52370345079891e+001°)
8.31763771102663e+001	(4.11312099525029e+001dB,9.53573253128677e+001°)
8.51138038202369e+001	(4.09333262209035e+001dB,9.54803687112209e+001°)
8.70963589956073e+001	(4.07355410442037e+001dB,9.56062237413410e+001°)
8.91250938133737e+001	(4.05378589547364e+001dB,9.57349504993673e+001°)
9.12010839355901e+001	(4.03402846877865e+001dB,9.58666101414524e+001°)
9.33254300796982e+001	(4.01428231901581e+001dB,9.60012648845160e+001°)
9.54992586021427e+001	(3.99454796290542e+001dB,9.61389780054638e+001°)
9.77237220955802e+001	(3.97482594012740e+001dB,9.62798138387399e+001°)
9.99999999999991e+001	(3.95511681427347e+001dB,9.64238377720743e+001°)
1.02329299228074e+002	(3.93542117383238e+001dB,9.65711162402783e+001°)
1.04712854805089e+002	(3.91573963320850e+001dB,9.67217167169316e+001°)
1.07151930523760e+002	(3.89607283377448e+001dB,9.68757077037967e+001°)
1.09647819614317e+002	(3.87642144495806e+001dB,9.70331587177863e+001°)
1.12201845430195e+002	(3.85678616536349e+001dB,9.71941402753009e+001°)
1.14815362149687e+002	(3.83716772392773e+001dB,9.73587238737413e+001°)
1.17489755493952e+002	(3.81756688111131e+001dB,9.75269819699945e+001°)
1.20226443461740e+002	(3.79798443012408e+001dB,9.76989879556774e+001°)
1.23026877081237e+002	(3.77842119818533e+001dB,9.78748161289153e+001°)
1.25892541179416e+002	(3.75887804781827e+001dB,9.80545416624182e+001°)
1.28824955169312e+002	(3.73935587817801e+001dB,9.82382405676107e+001°)
1.31825673855639e+002	(3.71985562641255e+001dB,9.84259896545577e+001°)
1.34896288259164e+002	(3.70037826905580e+001dB,9.86178664874177e+001°)
1.38038426460287e+002	(3.68092482345141e+001dB,9.88139493351471e+001°)
1.41253754462274e+002	(3.66149634920609e+001dB,9.90143171171643e+001°)
1.44543977074591e+002	(3.64209394967065e+001dB,9.92190493436758e+001°)
1.47910838816819e+002	(3.62271877344686e+001dB,9.94282260503548e+001°)
1.51356124843619e+002	(3.60337201591770e+001dB,9.96419277270531e+001°)
1.54881661891247e+002	(3.58405492079846e+001dB,9.98602352402211e+001°)
1.58489319246110e+002	(3.56476878170558e+001dB,1.00083229748698e+002°)
1.62181009735891e+002	(3.54551494373964e+001dB,1.00310992612531e+002°)
1.65958690743754e+002	(3.52629480507891e+001dB,1.00543605294483e+002°)
1.69824365246173e+002	(3.50710981857865e+001dB,1.00781149253860e+002°)
1.73780082874936e+002	(3.48796149337169e+001dB,1.01023705832324e+002°)
1.77827941003890e+002	(3.46885139646457e+001dB,1.01271356131325e+002°)
1.81970085860996e+002	(3.44978115432333e+001dB,1.01524180880797e+002°)
1.86208713666285e+002	(3.43075245444244e+001dB,1.01782260298775e+002°)
1.90546071796323e+002	(3.41176704688948e+001dB,1.02045673941588e+002°)
1.94984459975803e+002	(3.39282674581779e+001dB,1.02314500544295e+002°)
1.99526231496886e+002	(3.37393343093844e+001dB,1.02588817851037e+002°)
2.04173794466951e+002	(3.35508904894219e+001dB,1.02868702435023e+002°)
2.08929613085402e+002	(3.33629561486151e+001dB,1.03154229507840e+002°)
2.13796208950221e+002	(3.31755521336158e+001dB,1.03445472717861e+002°)
2.18776162394953e+002	(3.29886999994892e+001dB,1.03742503937508e+002°)
2.23872113856832e+002	(3.28024220208514e+001dB,1.04045393039194e+002°)
2.29086765276775e+002	(3.26167412019255e+001dB,1.04354207659788e+002°)
2.34422881531990e+002	(3.24316812853774e+001dB,1.04669012953527e+002°)
2.39883291901947e+002	(3.22472667597824e+001dB,1.04989871333314e+002°)
2.45470891568500e+002	(3.20635228655679e+001dB,1.05316842200434e+002°)
2.51188643150955e+002	(3.18804755992682e+001dB,1.05649981662790e+002°)
2.57039578276884e+002	(3.16981517159223e+001dB,1.05989342241811e+002°)
2.63026799189535e+002	(3.15165787294374e+001dB,1.06334972568305e+002°)
2.69153480392689e+002	(3.13357849107361e+001dB,1.06686917067596e+002°)
2.75422870333814e+002	(3.11557992835003e+001dB,1.07045215634406e+002°)
2.81838293126442e+002	(3.09766516173198e+001dB,1.07409903298041e+002°)
2.88403150312657e+002	(3.07983724180526e+001dB,1.07781009878561e+002°)
2.95120922666635e+002	(3.06209929151999e+001dB,1.08158559634752e+002°)
3.01995172040198e+002	(3.04445450461021e+001dB,1.08542570904828e+002°)
3.09029543251356e+002	(3.02690614367616e+001dB,1.08933055740957e+002°)
3.16227766016834e+002	(3.00945753791021e+001dB,1.09330019538845e+002°)
3.23593656929625e+002	(2.99211208044824e+001dB,1.09733460663747e+002°)
3.31131121482587e+002	(2.97487322532886e+001dB,1.10143370074465e+002°)
3.38844156139199e+002	(2.95774448404403e+001dB,1.10559730947016e+002°)
3.46736850452528e+002	(2.94072942166624e+001dB,1.10982518299845e+002°)
3.54813389233572e+002	(2.92383165253862e+001dB,1.11411698622596e+002°)
3.63078054770097e+002	(2.90705483551694e+001dB,1.11847229510620e+002°)
3.71535229097168e+002	(2.89040266875420e+001dB,1.12289059307560e+002°)
3.80189396320557e+002	(2.87387888402153e+001dB,1.12737126758478e+002°)
3.89045144994276e+002	(2.85748724056194e+001dB,1.13191360676139e+002°)
3.98107170553493e+002	(2.84123151847678e+001dB,1.13651679623190e+002°)
4.07380277804108e+002	(2.82511551164849e+001dB,1.14117991613051e+002°)
4.16869383470331e+002	(2.80914302020702e+001dB,1.14590193832456e+002°)
4.26579518801588e+002	(2.79331784255171e+001dB,1.15068172388618e+002°)
4.36515832240161e+002	(2.77764376694490e+001dB,1.15551802084024e+002°)
4.46683592150958e+002	(2.76212456269818e+001dB,1.16040946221893e+002°)
